Herat	34.333	62.2	HERA	Afghanistan	AF	Herat	HR	Asia/Kabul	+04:30	+04:30	704062
Kabul	34.517	69.183	KABU	Afghanistan	AF	Kabol	KB	Asia/Kabul	+04:30	+04:30	563255
Mazar-e Sharif	36.7	67.1	MSHA	Afghanistan	AF	Balkh	BK	Asia/Kabul	+04:30	+04:30	352026
Korce	40.6162	20.7779	KORC	Albania	AL	Korce	KO	Europe/Tirane	+01:00	+02:00	563254
Tirane	41.333	19.833	TIRA	Albania	AL	Tirane	TR	Europe/Tirane	+01:00	+02:00	625469
Algiers	36.763	3.051	ALGI	Algeria	DZ	Alger	AL	Africa/Algiers	+01:00	+01:00	563258
Skikda	36.879	6.907	SKIK	Algeria	DZ	Constantine	CO	Africa/Algiers	+01:00	+01:00	140807
Oran	35.691	-0.642	ORAN	Algeria	DZ	Oran	OR	Africa/Algiers	+01:00	+01:00	765234
Ouled Djellal	34.417	5.067	ODJE	Algeria	DZ	Biskra	BS	Africa/Algiers	+01:00	+01:00	352020
Mascara	35.394	0.14	MASC	Algeria	DZ	Mascara	MC	Africa/Algiers	+01:00	+01:00	840737
Annaba	36.9	7.767	ANNA	Algeria	DZ	Skikda	SK	Africa/Algiers	+01:00	+01:00	489756
Pago Pago	14.27	-170.7	PPAG	American Samoa	AS	Eastern Tutuila	ET	Pacific/Pago_Pago	-11:00	-11:00	563260
Andorra La Vella	42.5	1.517	ALVE	Andorra	AD	Andorra la Vella	AN	Europe/Andorra	+01:00	+02:00	704048
Escaldes	42.5	1.533	ESCA	Andorra	AD	Escaldes-Engordany	EE	Europe/Andorra	+01:00	+02:00	979508
Benguela	-12.58	13.408	BENG	Angola	AO	Benguela	BG	Africa/Luanda	+01:00	+01:00	352011
Sumbe	-11.2	13.833	SUMB	Angola	AO	Cuanza Sul	CS	Africa/Luanda	+01:00	+01:00	140821
Lubango	-14.917	13.5	LUBA	Angola	AO	Huila	HL	Africa/Luanda	+01:00	+01:00	902965
Luanda	-8.838	13.234	LUAN	Angola	AO	Luanda	LU	Africa/Luanda	+01:00	+01:00	979513
Luanda	-7.05	14.817	LUAN	Angola	AO	Uige	UI	Africa/Luanda	+01:00	+01:00	765215
The Valley	18.217	-63.05	TVAL	Anguilla	AI	Anguilla	AI	America/Anguilla	-04:00	-04:00	281663
McMurdo Station	-77.91	166.65	MSTA	Antarctica	AQ	Ross Island	RI	Antarctica/McMurdo	+12:00	+13:00	352056
Saint Johns	17.117	-61.85	SJOH	Antigua and Barbuda	AG	Saint John	JO	America/Antigua	-04:00	-04:00	563220
Falmouth	17.017	-61.783	FALM	Antigua and Barbuda	AG	Saint Paul	PA	America/Antigua	-04:00	-04:00	765213
Bahia Blanca	-38.717	-62.283	BBLA	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	704026
Berazategui	-34.767	-58.217	BERA	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	765212
Caseros	-34.6	-58.55	CASE	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	765202
Castelar	-34.667	-58.667	CAST	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	765200
Chacabuco	-34.642	-60.474	CHAC	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	704019
Ezeiza	-34.85	-58.533	EZEI	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	625433
Haedo	-34.633	-58.6	HAED	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	625432
Jose Leon Suarez	-34.533	-58.583	JLSU	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	352044
La Plata	-34.931	-57.949	LPLA	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	704012
Lomas De Zamora	-34.767	-58.4	LDZA	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	902942
Mar del Plata	-38	-57.55	MDPL	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	979478
Miramar	-38.267	-57.85	MIRA	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	420389
Pinamar	-37.117	-56.833	PINA	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	902937
Ramos Mejia	-34.633	-58.567	RMEJ	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	140857
Salto	-34.299	-60.242	SALT	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	420385
San Clemente del Tuy?	-36.367	-56.717	SCDT	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	281645
San Isidro	-34.45	-58.5	SISI	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	210226
San Martin	-34.567	-58.533	SMAR	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	352039
Tres Arroyos	-38.383	-60.283	TARR	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	420393
Turdera	-34.783	-58.4	TURD	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	765189
Road Town	18.43	-64.63	RTOW	British Virgin Islands	VG	British Virgin Islands	VG	America/Tortola	-04:00	-04:00	840810
Cordoba	-31.4	-64.183	CORD	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	704124
Marcos Ju?rez	-32.7	-62.1	MJU?	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	704113
Rio Tercero	-32.183	-64.1	RTER	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	140867
Villa Mar?a	-32.417	-63.25	VMAR	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	625533
Vatican	41.9	12.46	VATI	Holy See (Vatican City)	VA	Holy See (Vatican City)	VA	Europe/Vatican	+01:00	+02:00	140869
Kingstown	13.133	-61.217	KING	Saint Vincent and the Grenadines	VC	Saint George	GE	America/St_Vincent	-04:00	-04:00	281682
Apia	-13.8333	-171.733	APIA	Samoa	WS	Samoa	WS	Pacific/Apia	+13:00	+14:00	352074
Ballito	-29.55	31.2	BALL	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	489798
Luj?n de Cuyo	-33.05	-68.867	LDCU	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	903035
Malarg?e	-35.467	-69.583	MALA	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	563298
Mendoza	-32.883	-68.817	MEND	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	210265
Chatsworth	-29.9271	30.8849	CHAT	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	352077
Clermont	-29.792	30.9016	CLER	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840824
Dassenhoek	-29.8575	30.7373	DASS	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	765286
