Herat	HERA	34.333	62.2	Afghanistan	AF	Herat	HR	Asia/Kabul	+04:30	+04:30	704062
Kabul	KABU	34.517	69.183	Afghanistan	AF	Kabol	KB	Asia/Kabul	+04:30	+04:30	563255
Mazar-e Sharif	MSHA	36.7	67.1	Afghanistan	AF	Balkh	BK	Asia/Kabul	+04:30	+04:30	352026
Korce	KORC	40.6162	20.7779	Albania	AL	Korce	KO	Europe/Tirane	+01:00	+02:00	563254
Tirane	TIRA	41.333	19.833	Albania	AL	Tirane	TR	Europe/Tirane	+01:00	+02:00	625469
Algiers	ALGI	36.763	3.051	Algeria	DZ	Alger	AL	Africa/Algiers	+01:00	+01:00	563258
Skikda	SKIK	36.879	6.907	Algeria	DZ	Constantine	CO	Africa/Algiers	+01:00	+01:00	140807
Oran	ORAN	35.691	-0.642	Algeria	DZ	Oran	OR	Africa/Algiers	+01:00	+01:00	765234
Ouled Djellal	ODJE	34.417	5.067	Algeria	DZ	Biskra	BS	Africa/Algiers	+01:00	+01:00	352020
Mascara	MASC	35.394	0.14	Algeria	DZ	Mascara	MC	Africa/Algiers	+01:00	+01:00	840737
Annaba	ANNA	36.9	7.767	Algeria	DZ	Skikda	SK	Africa/Algiers	+01:00	+01:00	489756
Pago Pago	PPAG	14.27	-170.7	American Samoa	AS	Eastern Tutuila	ET	Pacific/Pago_Pago	-11:00	-11:00	563260
Andorra La Vella	ALVE	42.5	1.517	Andorra	AD	Andorra la Vella	AN	Europe/Andorra	+01:00	+02:00	704048
Escaldes	ESCA	42.5	1.533	Andorra	AD	Escaldes-Engordany	EE	Europe/Andorra	+01:00	+02:00	979508
Benguela	BENG	-12.58	13.408	Angola	AO	Benguela	BG	Africa/Luanda	+01:00	+01:00	352011
Sumbe	SUMB	-11.2	13.833	Angola	AO	Cuanza Sul	CS	Africa/Luanda	+01:00	+01:00	140821
Lubango	LUBA	-14.917	13.5	Angola	AO	Huila	HL	Africa/Luanda	+01:00	+01:00	902965
Luanda	LUAN	-8.838	13.234	Angola	AO	Luanda	LU	Africa/Luanda	+01:00	+01:00	979513
Luanda	LUAN	-7.05	14.817	Angola	AO	Uige	UI	Africa/Luanda	+01:00	+01:00	765215
The Valley	TVAL	18.217	-63.05	Anguilla	AI	Anguilla	AI	America/Anguilla	-04:00	-04:00	281663
McMurdo Station	MSTA	-77.91	166.65	Antarctica	AQ	Ross Island	RI	Antarctica/McMurdo	+12:00	+13:00	352056
Saint Johns	SJOH	17.117	-61.85	Antigua and Barbuda	AG	Saint John	JO	America/Antigua	-04:00	-04:00	563220
Falmouth	FALM	17.017	-61.783	Antigua and Barbuda	AG	Saint Paul	PA	America/Antigua	-04:00	-04:00	765213
Bahia Blanca	BBLA	-38.717	-62.283	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	704026
Berazategui	BERA	-34.767	-58.217	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	765212
Caseros	CASE	-34.6	-58.55	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	765202
Castelar	CAST	-34.667	-58.667	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	765200
Chacabuco	CHAC	-34.642	-60.474	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	704019
Ezeiza	EZEI	-34.85	-58.533	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	625433
Haedo	HAED	-34.633	-58.6	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	625432
Jose Leon Suarez	JLSU	-34.533	-58.583	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	352044
La Plata	LPLA	-34.931	-57.949	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	704012
Lomas De Zamora	LDZA	-34.767	-58.4	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	902942
Mar del Plata	MDPL	-38	-57.55	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	979478
Miramar	MIRA	-38.267	-57.85	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	420389
Pinamar	PINA	-37.117	-56.833	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	902937
Ramos Mejia	RMEJ	-34.633	-58.567	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	140857
Salto	SALT	-34.299	-60.242	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	420385
San Clemente del Tuy?	SCDT	-36.367	-56.717	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	281645
San Isidro	SISI	-34.45	-58.5	Argentina	AR	Buenos Aires	BA	America/Argentina/Buenos_Aires	-03:00	-03:00	210226
